model,ap_compression,ap_regular,ap_average,accuracy,training_time,comp_sensitivity,comp_fa_per_day,reg_sensitivity,reg_fa_per_day,precision_comp,recall_comp,f1_comp,precision_reg,recall_reg,f1_reg
cnn,0.5318713450292398,0.4445147677493881,0.488193056389314,0.9832051143135768,49.13596057891846,0.9999999998,0.5,0.9523809523582767,1.0,0.0684931506849315,1.0,0.1282051282051282,0.22522522522522523,0.5952380952380952,0.326797385620915
logistic_regression,0.15755676639117897,0.10981801844168179,0.13368739241643038,0.9800628453786976,0.5602900981903076,0.79999999984,0.47794117647058826,0.33333333332539683,0.9926470588235294,0.057971014492753624,0.8,0.1081081081081081,0.08,0.19047619047619047,0.11267605633802817
rule_based,0.0005790115508276754,0.005995074137062346,0.0032870428439450107,0.9949073572434717,0.04194808006286621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
